name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
"New, spacious 1BD in Williamsburg",Lee,Brooklyn,Williamsburg,40.71512,-73.94978,Entire home/apt,102,7,26,2019-05-27,0.41,1,2
New Factory Converted Studio Loft,Vida,Brooklyn,Greenpoint,40.72574,-73.94146,Entire home/apt,129,30,3,2017-11-06,0.05,52,303
"2 Bedroom in Carroll Gardens West, minimum 1 month",Seth,Brooklyn,Columbia St,40.68727,-74.00352,Entire home/apt,107,30,35,2019-07-04,0.55,1,18
BEAUTIFUL ARTIST APT IN NOLITA w/ Private Backyard,Nico,Manhattan,Nolita,40.72297,-73.99539,Entire home/apt,250,1,2,2016-01-02,0.05,1,0
Centrally located in Bayside / Nice,Inez,Queens,Bay Terrace,40.78645,-73.77958,Private room,90,3,8,2019-01-15,0.25,2,324
Upper West Side Lux Apt. Available 8/5-8/14/2017,Lara,Manhattan,Upper West Side,40.78792,-73.97758,Entire home/apt,200,4,0,,,1,0
"Great, cozy room in Williamsburg!",Cristina,Brooklyn,Williamsburg,40.71841,-73.95992,Private room,90,1,2,2015-04-30,0.03,1,0
Luxury Living Near Central Park,Ziporah,Manhattan,Upper West Side,40.79838,-73.96388,Private room,200,5,20,2019-01-01,0.33,1,0
Prime Brooklyn 1BR-10min to City!,Laura,Brooklyn,Boerum Hill,40.68955,-73.98885,Entire home/apt,160,7,7,2016-09-12,0.15,1,0
Awesome Spot near HK/Theatre Distri,Pj,Manhattan,Hell's Kitchen,40.76269,-73.9907,Private room,124,5,196,2017-12-06,3.02,2,149
"Sunny Master Suite: large bdrm, priv bth, priv liv",Omar,Brooklyn,Bedford-Stuyvesant,40.6895,-73.95279,Private room,95,4,171,2019-06-30,2.72,1,137
Studio Loft with 2 queen beds and large kitchen,Vida,Brooklyn,Greenpoint,40.72591,-73.9422,Entire home/apt,129,30,2,2017-10-31,0.04,52,341
Full Floor Apt with NY Skyline views,En,Brooklyn,Williamsburg,40.71492,-73.94124,Private room,110,4,66,2019-06-22,1.04,1,323
Overlooking Harlem,Leah,Manhattan,Harlem,40.80121,-73.95002,Private room,92,2,173,2019-06-19,2.71,1,276
Royal Harlem TRIPLEX Home 5 Beds,Grover,Manhattan,Harlem,40.80705,-73.94452,Entire home/apt,175,3,157,2019-06-22,2.46,3,38
Private Room: The cheapest deal!!,Siddharth,Queens,Ozone Park,40.67948,-73.85335,Private room,30,7,0,,,1,0
Red Hook Classic Townhouse w Garden and Treehouse,Peter,Brooklyn,Red Hook,40.68075,-74.00961,Entire home/apt,134,2,157,2019-06-25,2.45,1,264
2 BR Designer's Apt in Heart of NYC,Andrew,Manhattan,SoHo,40.72337,-74.00175,Entire home/apt,400,1,18,2019-01-02,0.28,2,30
Chic New York city apartment,Vanita,Manhattan,Kips Bay,40.744,-73.98054,Entire home/apt,152,270,5,2016-01-06,0.10,1,0
Boutique Apt. NYC  by  24 HR Metro,Ray,Queens,Jackson Heights,40.75484,-73.8764,Shared room,75,2,0,,,1,0
18th Floor Bright Bedroom with Private Bathroom,Chiara,Manhattan,Financial District,40.70933,-74.00381,Private room,169,8,15,2019-06-10,0.24,1,60
Quintessential W'burg Apartment,Priya,Brooklyn,Williamsburg,40.71116,-73.96078,Private room,95,2,156,2019-06-10,2.43,2,274
Quintessential W'burg Private Room,Priya,Brooklyn,Williamsburg,40.71072,-73.96143,Private room,90,2,142,2019-06-16,2.22,2,306
Sunny Quiet Room In Harlem,Jerome,Manhattan,Harlem,40.8151,-73.95147,Private room,60,1,19,2018-10-22,1.34,1,356
COZY 1 BR IN COOL LOWER EAST SIDE,Asaf,Manhattan,Lower East Side,40.72005,-73.98609,Entire home/apt,180,6,55,2019-06-15,0.85,1,97
Peaceful Bed w Breakfast - Manhattan,Daniel,Manhattan,Upper East Side,40.77194,-73.94773,Private room,84,3,150,2019-06-21,2.38,1,294
Big Sunny Bushwick Apartment,Josh,Brooklyn,Bushwick,40.70451,-73.92588,Entire home/apt,98,4,32,2019-05-15,0.50,1,8
Charming Studio!--Brooklyn College ,Angel,Brooklyn,Flatlands,40.62338,-73.94078,Entire home/apt,90,7,21,2015-12-29,0.33,1,0
Charming Apartment in Greenpoint,Dusan,Brooklyn,Greenpoint,40.72771,-73.95382,Entire home/apt,134,6,6,2017-02-07,0.09,1,0
Private Room in Large Two-floor Apt w/ Backyard,Michael,Manhattan,Chelsea,40.75066,-73.9972,Private room,119,2,32,2017-10-30,1.09,1,0
Cozy spacious UES studio,Megan,Manhattan,Upper East Side,40.77574,-73.9524,Entire home/apt,141,1,20,2018-06-05,0.33,1,0
Charming 1 Bedroom in West Village,Idan,Manhattan,Greenwich Village,40.73405,-73.99725,Entire home/apt,199,4,3,2015-07-13,0.05,1,0
"Comfy, Roomy Bushwick 1-BR ~ Steps from L/M Train",Suzette,Brooklyn,Bushwick,40.69587,-73.9096,Entire home/apt,108,3,232,2019-07-06,3.62,1,89
NYC Steps from Central Park!,Robyn,Manhattan,Hell's Kitchen,40.7673,-73.98809,Entire home/apt,150,5,3,2015-01-05,0.05,1,0
"Ingefära Hus! One bedroom Williamsburg, Brooklyn",Ginger,Brooklyn,Williamsburg,40.71009,-73.95741,Entire home/apt,175,2,46,2019-02-18,0.72,3,14
Private 1Bed/Bath in Sunny 3Bed Apt,Elizabeth,Brooklyn,Boerum Hill,40.68844,-73.98513,Private room,90,3,5,2016-09-12,0.08,1,0
Parkside Apartment on Prospect Park,Daniel,Brooklyn,Prospect-Lefferts Gardens,40.6574,-73.96174,Private room,45,2,3,2015-09-21,0.06,1,151
Mamas red rm#2- profs-interns-students bklyn train,Ms. Edith,Brooklyn,Borough Park,40.63256,-73.99453,Private room,49,3,0,,,4,180
Cozy 1br mins from CASINO JFK & NYC,Claudius,Queens,Jamaica,40.67349,-73.76951,Entire home/apt,63,3,146,2019-06-20,2.28,2,23
Historic Harlem 2,Rose,Manhattan,Harlem,40.81456,-73.94583,Private room,100,6,13,2019-05-31,0.22,2,308
Private Room in WILLIAMSBURG,Heather,Brooklyn,Williamsburg,40.71683,-73.95623,Private room,110,1,38,2018-04-22,0.63,1,157
Georgous 3BD in 24-hr doorman bldg,Ana,Manhattan,Upper East Side,40.77979,-73.96153,Entire home/apt,600,1,0,,,1,0
"HUGE LUXURY 2BD/2B, 7mn TO TIME SQR",Dominique,Queens,Long Island City,40.74263,-73.95594,Entire home/apt,395,7,50,2019-05-01,0.80,1,319
Bright and Open Astoria Apartment!,Tegan,Queens,Astoria,40.76441,-73.92878,Private room,70,3,1,2015-04-06,0.02,2,0
3 BEDS IN LOVELY 2BEDROOM/2BATH MIDTOWN RENTAL,Jada,Manhattan,Midtown,40.75879,-73.96413,Entire home/apt,399,1,87,2017-12-18,1.37,3,267
Fully Furnished Upper West Side 1BD,Scott,Manhattan,Upper West Side,40.79732,-73.97259,Entire home/apt,145,14,22,2018-11-29,0.35,1,282
"Comfortable, spacious “ 1 bedroom “ apartment",Nicholas P,Queens,Astoria,40.76374,-73.90965,Private room,59,14,19,2019-05-07,0.31,1,346
Lg Private Rm 10mins to Manhattan,Jimmy,Queens,Astoria,40.75879,-73.91185,Private room,50,10,1,2016-07-31,0.03,1,0
1BR on Quiet Block in Nolita,John,Manhattan,Nolita,40.72276,-73.99499,Entire home/apt,145,2,52,2019-06-18,0.86,1,0
"Art-Packed, One-Of-A-Kind Triplex",Anthony,Manhattan,East Village,40.73101,-73.98936,Entire home/apt,245,2,3,2015-12-22,0.07,1,0
in the heart of manhattan,Fabiola,Manhattan,Hell's Kitchen,40.76152,-73.98793,Private room,149,1,158,2019-06-13,3.11,2,78
Beautiful Brooklyn Room,Brenna,Brooklyn,Bushwick,40.70365,-73.92711,Private room,50,1,1,2014-04-11,0.02,1,0
2-3 bedroom apt in Astoria NYC,Solange,Queens,Ditmars Steinway,40.77804,-73.91623,Entire home/apt,150,1,1,2014-08-28,0.02,1,0
Cozy private room in L.E.S -,Girish,Manhattan,Lower East Side,40.71934,-73.98196,Private room,110,3,0,,,1,0
Spacious Studio in Prospect Heights,Mari,Brooklyn,Crown Heights,40.67571,-73.95161,Entire home/apt,60,1,2,2014-04-21,0.03,1,0
ENTIRE APT IN GORGEOUS PARK SLOPE,Elizabeth,Brooklyn,South Slope,40.66517,-73.98637,Entire home/apt,165,5,7,2015-12-31,0.11,1,0
Nice room Convenient to Manhattan A,Jason,Brooklyn,Borough Park,40.64426,-73.99555,Private room,53,1,162,2019-06-13,2.51,4,60
Huge 1 bedroom in the East Village,Simona,Manhattan,East Village,40.72314,-73.98491,Entire home/apt,160,5,0,,,1,0
Nice room Convenient to Manhattan C,Jason,Brooklyn,Borough Park,40.64601,-73.99765,Private room,38,1,40,2019-06-16,0.62,4,280
Nice room Convenient to Manhattan B,Jason,Brooklyn,Borough Park,40.64447,-73.99574,Private room,49,1,96,2019-06-12,1.51,4,120
Close to Maimonides Center. Room D,Jason,Brooklyn,Borough Park,40.64492,-73.99612,Private room,47,1,90,2019-06-08,1.43,4,74
"Unique loft in Bushwick - Offices, yoga & roof!",Julie,Brooklyn,Bushwick,40.69728,-73.93066,Entire home/apt,120,2,15,2019-03-10,0.24,1,61
Gorgeous Apartment in Battery Park!,Jenna,Manhattan,Financial District,40.70558,-74.01533,Entire home/apt,175,2,45,2016-02-21,0.76,1,0
Beautiful 1 Bdr in the heart of NYC,Alex,Manhattan,Theater District,40.76084,-73.98367,Entire home/apt,129,30,16,2017-12-01,0.25,5,171
"Sunny, Child Friendly Loft. ",SirRoan,Brooklyn,Crown Heights,40.67901,-73.96237,Private room,105,1,1,2014-05-02,0.02,1,0
Sunny luxury in Bklyn's best hood,Jodie,Brooklyn,Carroll Gardens,40.68287,-73.99082,Entire home/apt,275,2,3,2018-06-24,0.05,1,0
1BD in a Quiet Brownstone in Harlem,Andre,Manhattan,Harlem,40.81927,-73.94631,Private room,99,1,0,,,1,0
Flatiron studio + dining / sunlight,Ryan,Manhattan,Kips Bay,40.73905,-73.98161,Entire home/apt,210,1,32,2018-05-08,0.50,1,0
Beautiful Prewar UWS Apartment,Laura,Manhattan,Upper West Side,40.77929,-73.97787,Private room,65,1,1,2015-09-01,0.02,1,0
LUXURY 2BED CONDO / OUTDOOR STONE TERRACE,Christina,Brooklyn,Sunset Park,40.63747,-74.01153,Private room,52,3,5,2019-06-03,0.11,1,281
Beautiful Master Bedroom in the Heart of Astoria,Ismail,Queens,Astoria,40.76163,-73.91783,Private room,100,1,13,2019-05-20,0.51,2,0
Bright Room in Battery Park!,KayCee,Manhattan,Battery Park City,40.70657,-74.01676,Private room,91,2,26,2017-07-27,0.44,1,0
Large newly renovated studio ,Patricia,Manhattan,Harlem,40.81472,-73.94291,Entire home/apt,124,5,124,2019-06-25,1.93,2,279
/,Bram,Manhattan,Harlem,40.82277,-73.94981,Private room,200,1,0,,,1,0
Elegant Triplex Townhouse,Gary,Brooklyn,Prospect Heights,40.67454,-73.96803,Entire home/apt,550,1,24,2017-02-19,0.38,1,0
Great room! Good for med students!,Nicolas,Bronx,Norwood,40.87605,-73.88047,Private room,70,6,40,2019-03-01,0.73,1,313
Jewel Box Studio in Soho / Nolita,Wilson,Manhattan,Nolita,40.72224,-73.99491,Entire home/apt,150,1,156,2019-05-31,2.46,1,111
Charm & Beauty close to Manhattan,Vinneth,Brooklyn,Bedford-Stuyvesant,40.68709,-73.95558,Entire home/apt,176,3,168,2019-06-15,2.64,2,302
Beautiful and cozy 1BR Apt,Martin,Manhattan,Morningside Heights,40.8075,-73.95844,Entire home/apt,99,30,9,2015-01-02,0.14,1,0
Great east village studio!,Milenna,Manhattan,Gramercy,40.73237,-73.98288,Entire home/apt,130,6,2,2017-01-01,0.06,1,0
Two real bedrooms near Central Park,Lang,Manhattan,Hell's Kitchen,40.76518,-73.98746,Entire home/apt,109,1,208,2019-06-22,3.22,1,261
East Village Charm,Doug,Manhattan,East Village,40.72939,-73.98319,Private room,75,2,124,2019-07-07,1.92,1,109
Large private bedroom in Manhattan,Jonathan,Manhattan,Hell's Kitchen,40.76791,-73.98735,Private room,95,4,7,2018-10-08,0.11,1,0
Sunny Private Room Near Prospect Pk,Daisy,Brooklyn,Crown Heights,40.68027,-73.96379,Private room,50,7,1,2016-01-03,0.02,1,0
Sunny Private Williamsburg room,Ellie,Brooklyn,Williamsburg,40.71685,-73.94246,Private room,100,2,38,2016-01-05,0.61,2,0
Big & Cozy Private Room,Alessandro,Manhattan,Harlem,40.8235,-73.95144,Private room,68,1,86,2019-06-10,1.36,1,64
Apartment 6,Craig,Manhattan,Harlem,40.8029,-73.95694,Private room,104,3,298,2019-06-27,4.67,1,42
Huge room in South Prospect Park,Yago,Brooklyn,Flatbush,40.64576,-73.95871,Private room,30,15,1,2018-06-20,0.08,1,0
Garden Duplex in Clinton Hill,Dominick,Brooklyn,Clinton Hill,40.6842,-73.9636,Entire home/apt,595,4,22,2019-01-01,0.39,1,0
Williamsburg: great room with a sunny terrace!,Carlos,Brooklyn,Williamsburg,40.70819,-73.94813,Private room,65,9,12,2019-01-31,0.19,1,0
Shared studio in East Harlem,Serenity,Manhattan,East Harlem,40.79731,-73.94231,Shared room,55,1,10,2015-08-18,0.20,1,0
Beautiful 2 Bedroom in Quaint Cobble Hill,Nan,Brooklyn,Boerum Hill,40.68611,-73.99031,Entire home/apt,250,6,6,2019-04-21,0.09,1,56
"Williamsburg, Brooklyn Apartment",Zandy,Brooklyn,Williamsburg,40.71075,-73.95676,Entire home/apt,85,10,40,2019-06-26,0.64,1,324
Union Square - Best NYC location,Matteo,Manhattan,East Village,40.73112,-73.98558,Private room,90,5,109,2019-06-22,1.73,2,21
Charming apartment river view,Angie,Manhattan,Washington Heights,40.84309,-73.94127,Private room,90,3,2,2016-07-16,0.03,1,0
Williamsburg Bedroom & Study,Sean,Brooklyn,Williamsburg,40.72002,-73.9578,Entire home/apt,90,14,2,2018-05-08,0.14,1,310
Entire home 1 BR+ office or 2 BR best UWS location,Jennifer,Manhattan,Upper West Side,40.78283,-73.97206,Entire home/apt,199,13,2,2019-01-01,0.03,1,0
Luxury Apt - west village/Chelsea,G,Manhattan,Chelsea,40.74311,-74.00718,Entire home/apt,275,30,2,2014-10-05,0.03,1,365
Better than hotel,Fe,Brooklyn,Bay Ridge,40.63113,-74.02767,Entire home/apt,125,5,0,,,2,213
1 BR with private bath new building,Shay,Manhattan,Harlem,40.8127,-73.94367,Private room,150,3,23,2017-07-01,0.36,1,0
Spacious Modern 2BD Apartment,Jessica,Queens,Rockaway Beach,40.58451,-73.815,Entire home/apt,140,2,14,2014-10-31,0.22,1,0
Charming Modern Studio w/Large Garden,Christian,Manhattan,East Harlem,40.79249,-73.94592,Entire home/apt,120,7,0,,,1,6
Brooklyn loft apt in industrial building,Lila,Brooklyn,Williamsburg,40.71997,-73.95945,Private room,60,1,44,2018-03-28,1.24,3,0
Lovely home-y room in Bushwick,Guillaume,Brooklyn,Bushwick,40.69304,-73.92079,Private room,36,10,2,2017-10-01,0.03,1,0
Large Private Room,Wendy,Manhattan,Harlem,40.80546,-73.95221,Private room,85,3,51,2019-06-22,1.27,1,66
Private Bedroom in Spacious Brooklyn Apartment,Eva,Brooklyn,Crown Heights,40.67656,-73.95825,Private room,85,1,4,2017-03-05,0.11,1,0
Beautiful Prospect Park South room,Melinda,Brooklyn,Flatbush,40.64772,-73.96273,Private room,45,7,30,2019-06-16,0.48,1,287
Washer&Dryer - 6 Subway stops to NYC / 15 min ride,Frances,Brooklyn,Bedford-Stuyvesant,40.6883,-73.95644,Entire home/apt,92,3,227,2019-07-01,3.61,1,173
Great room with awesome amenities!,Johnny,Brooklyn,Bedford-Stuyvesant,40.69135,-73.94694,Private room,30,1,1,2014-03-28,0.02,1,0
Sunny Private Room w/Exposed Brick,Andrew,Brooklyn,Greenpoint,40.72707,-73.95681,Private room,75,1,3,2018-01-01,0.05,1,0
Amazing Penthouse Studio (Midtown East),Abraham,Manhattan,Midtown,40.75529,-73.96897,Entire home/apt,99,6,15,2018-08-26,0.24,1,0
Williamsburg Dream loft,Justin,Brooklyn,Williamsburg,40.70942,-73.94693,Entire home/apt,100,20,7,2018-09-29,0.21,1,327
Cozy 1BR in Beautiful Brooklyn,Alex,Brooklyn,Boerum Hill,40.68647,-73.98595,Entire home/apt,115,3,54,2018-07-26,0.94,1,188
Sun-drenched Artist Loft,Stephen And Hector,Brooklyn,Bushwick,40.69911,-73.93713,Entire home/apt,175,5,16,2018-12-31,0.25,1,0
Large Garden Apartment in BK Brownstone,Chaydha,Brooklyn,Crown Heights,40.67648,-73.95098,Entire home/apt,112,4,19,2019-06-05,0.52,2,0
Beautiful Brownstone near Central Park,Nicole,Manhattan,Harlem,40.80007,-73.9562,Entire home/apt,450,7,6,2018-08-18,0.16,1,0
Exquisite Furnished 1-BR Studio,AFI Apartments,Manhattan,Upper East Side,40.77231,-73.95588,Entire home/apt,103,30,7,2019-04-30,0.23,29,326
Stylish Comfort 1-BR Upper East,AFI Apartments,Manhattan,Upper East Side,40.77263,-73.95567,Entire home/apt,117,30,0,,,29,331
"Lovely, quiet 1-Bedroom Apt",Sonja,Manhattan,Morningside Heights,40.81503,-73.96029,Entire home/apt,150,5,9,2018-12-30,0.14,1,0
close to Manhattan country setting,Aaron,Staten Island,Concord,40.60375,-74.08065,Private room,129,1,40,2018-10-14,0.85,2,86
Luxury One Bedroom Upper West Side,Omar,Manhattan,Upper West Side,40.79071,-73.97408,Entire home/apt,145,3,8,2016-06-13,0.13,1,0
LRG 1 Bdrm w/office and backyard,Hedia,Brooklyn,Bushwick,40.70318,-73.91462,Entire home/apt,115,14,0,,,1,0
UPPER WEST SIDE 2BR APT,Naftali,Manhattan,Upper West Side,40.79733,-73.96104,Entire home/apt,90,5,0,,,1,0
Sunny Studio NYC West 50's,Joe,Manhattan,Hell's Kitchen,40.76608,-73.99203,Entire home/apt,90,2,1,2014-04-24,0.02,1,0
Beautiful & Tranquil Oasis in a Great Location,Oz,Brooklyn,Williamsburg,40.7165,-73.94842,Entire home/apt,100,30,99,2019-01-09,1.57,2,151
Tour like a local,Tmc,Bronx,Concourse,40.83012,-73.92714,Private room,41,2,12,2018-01-01,0.35,2,0
"Charming, Modern 2BR | Central Park",AFI Apartments,Manhattan,Upper East Side,40.77265,-73.9574,Entire home/apt,145,30,1,2018-09-30,0.11,29,329
Incredible 2-BR w/ Kitchen Island!,AFI Apartments,Manhattan,Upper East Side,40.77276,-73.95675,Entire home/apt,139,30,4,2018-07-29,0.07,29,308
Cute Apartment with Great Bathroom!,AFI Apartments,Manhattan,Upper East Side,40.77107,-73.95682,Entire home/apt,117,30,6,2019-03-31,0.11,29,255
Spacious room in huge loft,Mark,Brooklyn,Bushwick,40.70065,-73.93862,Private room,50,5,5,2017-09-05,0.12,1,0
Cozy Private Room Upper West Side - with Deck!,Ronnie,Manhattan,Upper West Side,40.79827,-73.96881,Private room,80,1,254,2019-06-23,4.02,1,118
"Large Sunny Apt, Great Location!",Conall,Brooklyn,Prospect Heights,40.67318,-73.96738,Entire home/apt,100,5,10,2016-10-13,0.16,1,0
Garden Appartment in Clinton Hill,Jas,Brooklyn,Fort Greene,40.68661,-73.97054,Entire home/apt,225,3,12,2017-04-16,0.19,1,0
Cozy private space in a brand new apartment,Guyen,Brooklyn,Flatbush,40.64851,-73.96121,Private room,70,1,7,2019-07-01,2.21,1,176
Charming Cozy Cool 2BR Apartment.,Angel,Bronx,Co-op City,40.86646,-73.82154,Private room,80,3,2,2015-10-13,0.03,1,365
Tasteful Room in Charming Two Bedroom Apartment,Yoni,Manhattan,Harlem,40.82424,-73.94664,Private room,70,2,228,2019-07-06,4.27,1,247
Budge private room F,Susan,Brooklyn,Borough Park,40.63081,-73.99638,Private room,31,1,60,2019-04-01,0.97,5,158
Private room in friendly Brownstone,Rachael And Christopher,Brooklyn,Bushwick,40.69616,-73.93201,Private room,40,1,25,2018-09-15,0.39,1,0
North Central Park Apartament,Radu,Manhattan,Harlem,40.80029,-73.95362,Entire home/apt,290,4,12,2019-07-07,0.20,1,359
"GREAT 2bed/2bath/patio, FORT GREENE",Daria,Brooklyn,Fort Greene,40.68914,-73.9776,Entire home/apt,235,4,23,2019-06-21,0.36,1,31
"room in a two bedroom apt, whole apartment",Nicole,Brooklyn,Williamsburg,40.70719,-73.96407,Entire home/apt,200,1,2,2016-12-12,0.06,1,0
beautiful 2br 2bath 2 balconies.,Octavio,Brooklyn,Bedford-Stuyvesant,40.69471,-73.94184,Entire home/apt,180,1,0,,,1,0
Sunny apt steps from Prospect Pk!,Heather,Brooklyn,South Slope,40.66141,-73.98097,Entire home/apt,110,1,5,2019-04-28,0.88,1,85
Private room in in East Village,Arash,Manhattan,East Village,40.72839,-73.98613,Private room,120,3,5,2016-05-30,0.09,2,0
GORGEOUS Newly-Renovated 2-BR Flat,AFI Apartments,Manhattan,Upper East Side,40.77278,-73.95753,Entire home/apt,142,30,1,2016-08-13,0.03,29,205
Cozy Room in Lower East Side- NYC,Helena,Manhattan,Lower East Side,40.72073,-73.98954,Private room,105,3,21,2019-07-02,0.33,3,20
darling small studio,Tanya,Manhattan,Upper East Side,40.78061,-73.9498,Entire home/apt,100,10,4,2015-11-06,0.06,1,0
Private room in Hell's Kitchen,João,Manhattan,Hell's Kitchen,40.76503,-73.98827,Private room,102,2,6,2017-11-12,0.26,1,0
Beautiful Prime Williamsburg Apt,David,Brooklyn,Williamsburg,40.71498,-73.96104,Entire home/apt,152,1,334,2019-06-27,5.20,1,269
Apt #2: Beautiful 2BR/1BA Crown Hgt,Clayon Elizabeth,Brooklyn,Crown Heights,40.67228,-73.93352,Entire home/apt,150,28,22,2019-01-05,0.38,2,207
Spacious Studio Suite w Adjoining Sunroom,Abby & Kurt,Queens,Ditmars Steinway,40.77594,-73.91786,Entire home/apt,95,3,25,2019-05-31,3.04,1,6
PRIVATE RM #1 STARTING AT $67 A NIGHT,Anthony,Brooklyn,East Flatbush,40.64942,-73.92482,Private room,67,5,50,2018-09-19,0.80,5,300
Private Room with a View in Brownstone Brooklyn,Clare,Brooklyn,Crown Heights,40.67265,-73.9485,Private room,65,2,51,2019-06-20,0.81,1,73
Cozy Room in Williamsburg 3BR,Lulú,Brooklyn,Williamsburg,40.71112,-73.96268,Private room,79,22,21,2019-06-14,0.34,4,313
Artist’s Pad on Prospect Park,Al,Brooklyn,Flatbush,40.65403,-73.95904,Private room,55,1,151,2019-06-23,2.37,2,135
"Bright, comfy 1 Bedroom apt in Manhattan",Angélique,Manhattan,Morningside Heights,40.8098,-73.95722,Entire home/apt,83,60,1,2016-01-08,0.02,1,0
A bright spacious one-bedroom ,Lenny,Manhattan,Gramercy,40.73409,-73.98559,Entire home/apt,200,30,38,2019-01-14,0.65,1,170
Carroll Gardens entire apartment,Barbara,Brooklyn,Carroll Gardens,40.67909,-73.996,Private room,150,4,0,,,2,257
"Charming Studio / East Village, NYC",Fabrizio,Manhattan,East Village,40.72816,-73.98035,Entire home/apt,160,10,18,2019-07-03,0.28,1,281
Quiet Queens Apt in middle of NYC,Jimmy,Queens,Maspeth,40.71827,-73.90647,Entire home/apt,80,2,61,2019-06-16,3.13,1,32
Classic Upper West Side Getaway!,Jason,Manhattan,Upper West Side,40.79592,-73.97024,Entire home/apt,159,2,1,2017-11-20,0.05,1,0
"Bright, spacious 1BR in UES",Izumi,Manhattan,Upper East Side,40.77645,-73.94865,Entire home/apt,90,30,13,2016-04-30,0.25,1,0
Common Area + Room in Spacious Loft-Like Apt.,Madeline,Brooklyn,Crown Heights,40.67799,-73.94709,Shared room,45,4,11,2015-11-16,0.19,2,0
Private 1BR W/ Private Bathroom in Chinatown,Peter,Manhattan,Two Bridges,40.71226,-73.99416,Private room,100,1,103,2019-06-23,2.21,1,223
GORGEOUS LUXURY APARTMENT AND VIEW!,Michael,Brooklyn,Greenpoint,40.73282,-73.9578,Entire home/apt,125,3,16,2019-07-01,0.25,1,60
Your Amazing Vacation Apartment!,Lydiah,Manhattan,Harlem,40.8106,-73.94647,Shared room,100,1,0,,,2,0
"Manhattan,  East Village next to  Lower East Side",Fabian,Manhattan,East Village,40.721,-73.98169,Private room,80,4,143,2019-06-23,2.24,1,187
"Luxury 5BR Townhouse, Upper East",Isabel,Manhattan,Upper East Side,40.76791,-73.96509,Entire home/apt,2300,3,32,2018-09-23,0.53,1,139
Bedstuy Apartment for Rent,Lamee,Brooklyn,Bedford-Stuyvesant,40.68852,-73.93588,Entire home/apt,90,30,62,2019-06-01,1.20,3,280
Stunning 1BR apt  UES/Harlem,Kurtis,Manhattan,East Harlem,40.7913,-73.94265,Entire home/apt,140,3,2,2015-12-13,0.04,1,0
Private room in Charming Greenpoint,Dawn,Brooklyn,Greenpoint,40.72561,-73.94745,Private room,52,5,7,2019-06-20,0.18,3,342
Lovely spacious studio in LES,Alexandra,Manhattan,Chinatown,40.71675,-73.99092,Entire home/apt,200,2,9,2017-11-04,0.18,1,0
A Photographer's Bohemian Artist Dream 1BD,Michael,Brooklyn,Williamsburg,40.70844,-73.95191,Entire home/apt,94,2,0,,,1,0
"Come see Brooklyn, New York",Howard T.,Brooklyn,Clinton Hill,40.69172,-73.96934,Shared room,40,5,8,2015-02-25,0.13,1,0
"New York City, a safe and (mostly) quiet place.",Renald,Queens,Rego Park,40.72786,-73.86946,Private room,55,2,12,2019-06-23,0.20,1,89
Private Room + Balcony in Bushwick.,Mira,Brooklyn,Williamsburg,40.70585,-73.92698,Private room,69,5,6,2019-05-07,0.10,2,0
Spacious One Bedroom in Gramercy ,Natalie,Manhattan,Gramercy,40.73657,-73.98019,Entire home/apt,200,3,6,2016-08-13,0.09,1,0
"Cute Studio in Bushwick BK, NYC",Brittany,Brooklyn,Bushwick,40.69987,-73.92552,Entire home/apt,100,1,104,2019-06-23,1.65,1,334
Quaint Studio Apt. $1300 monthly for one person,Sofia,Brooklyn,Bay Ridge,40.63465,-74.02366,Entire home/apt,53,20,16,2019-06-02,0.27,1,220
Cozy 3 bedroom on upper west side,Rebecca,Manhattan,Upper West Side,40.79512,-73.97092,Private room,425,3,24,2019-06-08,0.39,1,365
"Priv. Room in a House,15min,Manhatt",Denise,Bronx,Claremont Village,40.84192,-73.91108,Private room,40,3,46,2019-05-31,0.72,2,292
Zen Bedroom in Artist Loft in Williamsburg,Michelle,Brooklyn,Williamsburg,40.71209,-73.95196,Private room,40,2,32,2018-08-12,0.50,1,0
"1BR - gym, laundry in apt, roof",Rachel,Brooklyn,Williamsburg,40.71639,-73.95271,Entire home/apt,150,4,0,,,1,0
Private room in shared 2BR,Micky,Manhattan,Washington Heights,40.83677,-73.94314,Private room,65,3,1,2014-04-22,0.02,1,0
Comfy UWS Room near Central Park & Times Square,Kevin,Manhattan,Upper West Side,40.77848,-73.98334,Private room,109,1,288,2019-07-02,4.58,4,103
Quaint Room ,Favio,Queens,Jackson Heights,40.75107,-73.87654,Private room,60,5,66,2019-05-27,1.05,1,348
Entire spacious loft Williamsburgh,Luis,Brooklyn,Williamsburg,40.71262,-73.95292,Entire home/apt,180,3,13,2018-12-29,0.21,2,0
"Cozy, close to everything in NY  :)",Jovana,Queens,Long Island City,40.74627,-73.94666,Private room,95,2,126,2019-06-29,1.98,1,39
Great Room In Mid Town New York NYC,Anthony,Manhattan,Midtown,40.76419,-73.98018,Private room,140,7,49,2019-06-13,0.82,3,296
4BR Family apt 15 min to Manhattan,Cecile,Queens,Long Island City,40.74749,-73.92089,Entire home/apt,155,3,4,2015-10-13,0.07,1,0
City Life in Harlem,John,Manhattan,Harlem,40.80494,-73.95638,Entire home/apt,105,5,132,2019-06-20,2.09,1,12
